timestamp,no2,o3,temperatura,humedad,prediccion,latitud,longitud
1764880210,0.01,175.0,25.2,44.3,2,0.35893,-78.111214
1764880224,0.01,175.0,25.3,43.9,2,0.35893,-78.111214
1764880237,0.01,170.0,25.7,43.6,2,0.35893,-78.111214
1764880249,0.01,170.0,25.9,43.0,2,0.35893,-78.111214
1764880261,0.0,170.0,26.2,43.0,2,0.35893,-78.111214
1764880274,0.01,170.0,26.3,42.9,2,0.35893,-78.111214
1764880286,0.01,170.0,26.3,42.8,2,0.35893,-78.111214
1764880298,0.0,175.0,26.4,42.8,2,0.35893,-78.111214
1764880311,0.01,175.0,26.5,42.7,2,0.35893,-78.111214
1764880323,0.01,175.0,26.6,42.7,2,0.35893,-78.111214
1764880335,0.01,175.0,26.7,42.7,2,0.35893,-78.111214
1764880348,0.01,170.0,26.8,42.6,2,0.35893,-78.111214
1764880360,0.01,175.0,26.8,42.4,2,0.35893,-78.111214
1764880373,0.01,226.0,27.0,42.2,2,0.35893,0.0
1764880385,0.01,175.0,27.1,42.0,2,0.35893,-78.111214
1764880397,0.01,175.0,27.1,41.9,2,0.35893,-78.111214
1764880410,0.01,275.0,27.2,41.8,2,0.35893,-78.111214
1764880422,0.01,178.0,27.3,41.7,2,0.35893,-78.111214
1764880435,0.01,175.0,27.4,41.5,2,0.35893,-78.111214
1764880447,0.01,175.0,27.6,41.3,2,0.35893,-78.111214
1764880579,0.0,231.0,27.7,41.1,2,0.35893,-78.111214
1764880641,0.0,181.0,27.7,41.0,2,0.35893,-78.111214
1764880704,0.01,187.0,27.8,40.9,2,0.35893,-78.111214
1764880767,0.0,187.0,27.8,41.0,2,0.35893,-78.111214
1764880830,0.01,231.0,27.8,40.8,2,0.35893,-78.111214
1764880956,0.0,181.0,27.9,40.7,2,0.35893,-78.111214
1764881144,0.01,181.0,28.0,40.7,2,0.35893,-78.111214
1764881458,0.01,182.0,27.2,40.7,2,0.0,-78.111214
