no2;ozone;temperature;humidity;estimates
0.0;73;5.78;94.54;1
0.01;21;-8.55;17.75;0
0.01;8;-9.46;61.97;0
0.01;5;29.2;95.45;0
0.01;46;15.66;22.63;1
0.01;63;33.5;15.4;1
0.02;19;21.59;13.0;1
0.04;91;37.2;22.92;2
0.01;12;-3.25;13.32;0
0.01;21;35.83;10.4;0
0.02;12;21.97;43.01;1
0.02;33;16.57;14.2;1
0.0;13;2.16;83.01;0
0.0;82;31.33;58.53;2
0.01;50;19.81;43.4;0
0.01;7;18.69;29.64;0
0.05;83;26.2;17.23;2
0.01;60;19.63;56.4;1
0.04;25;35.31;81.12;1
0.01;17;-0.06;26.68;0
0.03;6;23.87;41.24;1
0.01;24;-3.47;74.3;0
0.0;27;13.3;62.48;0
0.02;28;13.1;64.67;1
0.01;43;-1.5;66.29;0
0.01;73;19.04;53.98;1
0.02;78;35.41;84.13;1
0.01;31;18.6;99.74;0
0.0;18;-0.73;26.38;0
0.01;30;12.35;10.57;0
0.0;10;-8.84;99.56;0
0.03;42;19.64;85.14;1
0.04;9;27.97;77.93;1
0.04;46;21.47;25.39;1
0.09;41;23.33;61.03;0
0.04;47;16.39;53.11;1
0.01;50;35.45;72.2;0
0.04;98;21.31;58.62;2
0.01;23;7.15;62.44;0
0.04;40;-0.84;15.57;1
0.02;94;35.94;40.32;2
0.03;13;18.04;20.94;1
0.04;91;-1.59;53.3;2
0.01;10;-1.36;15.91;0
0.01;6;29.35;58.61;0
0.05;88;-8.62;81.15;2
0.04;87;16.12;40.58;2
0.05;100;32.63;54.13;2
0.02;95;-5.66;55.79;2
0.01;45;25.4;21.48;0
0.01;8;4.98;85.4;0
0.01;34;17.32;38.03;0
0.02;98;24.15;18.76;2
0.03;43;10.69;77.93;1
0.01;100;25.94;75.75;2
0.02;29;20.72;75.31;1
0.01;76;-6.43;74.18;1
0.01;23;2.36;94.86;0
0.02;42;38.92;70.6;1
0.01;7;35.0;90.45;1
0.02;25;34.68;50.15;1
0.01;31;38.11;49.61;0
0.01;24;-4.01;79.11;0
0.05;101;20.27;58.24;2
0.03;70;35.72;48.31;1
0.01;12;34.89;42.69;0
0.03;43;28.08;27.35;1
0.01;85;4.93;80.52;2
0.16;53;28.56;71.57;1
0.01;34;18.11;37.03;0
0.05;100;6.5;45.88;2
0.02;92;16.87;32.57;2
0.01;40;-5.81;34.09;0
0.01;22;-5.58;47.83;0
0.01;92;29.5;46.87;2
0.05;23;24.86;45.46;1
0.03;74;30.13;22.53;1
0.01;25;39.76;29.41;0
0.01;21;-5.47;37.52;0
0.02;73;16.67;16.68;1
0.03;19;20.18;65.93;0
0.04;53;2.47;97.97;1
0.02;86;5.03;26.27;2
0.04;93;32.33;78.07;2
0.05;23;20.56;37.34;1
0.01;7;23.69;89.79;0
0.01;26;7.64;43.78;0
0.02;94;14.16;96.39;2
0.01;15;1.86;97.76;0
0.02;96;2.92;70.19;2
0.01;24;34.91;94.66;0
0.01;22;-7.24;52.27;0
0.1;11;23.47;61.64;0
0.04;90;0.36;76.35;2
0.01;13;23.09;95.87;0
0.04;76;38.83;31.6;1
0.01;47;10.22;77.25;0
0.0;79;15.21;33.15;1
0.01;24;23.34;34.42;0
0.01;28;36.07;71.69;0
0.04;86;19.73;92.27;2
0.05;37;27.0;17.12;1
0.01;15;18.88;23.53;0
0.04;41;-7.93;91.34;1
0.0;41;29.58;69.71;0
0.03;95;16.31;66.88;2
0.02;95;24.46;68.4;2
0.05;58;5.12;92.0;1
0.04;18;-6.0;69.46;1
0.01;95;7.81;27.84;2
0.01;9;6.77;61.53;0
0.01;44;6.77;73.28;0
0.02;31;21.74;17.65;1
0.03;82;19.27;63.07;2
0.05;15;36.31;89.78;1
0.05;19;2.56;16.77;1
0.04;32;0.17;18.34;1
0.03;92;5.19;68.97;2
0.01;80;8.68;11.16;1
0.05;97;7.3;37.85;2
0.01;10;8.88;96.55;0
0.04;101;39.75;69.94;2
0.02;96;19.34;67.02;2
0.01;17;27.64;87.92;0
